scenario,step,mean_cooperation,balanced_fraction,n_blocs,modularity,polarization,conflicts,total_power
rivalrous,33,-0.01845648724029291,0.8681318681318682,3,0.5264370123190363,0.0,0,42.25416919923868
rivalrous,34,-0.017518055795349707,0.8681318681318682,3,0.5232657080554411,0.0,1,42.73759477770906
rivalrous,35,-0.014445879440283953,0.8901098901098901,3,0.5055055962813921,0.0,0,43.56339349367245
rivalrous,36,-0.011196838745507537,0.9175824175824175,3,0.49423927048223454,0.0,0,44.40797634841764
rivalrous,37,-0.008099270973853432,0.9175824175824175,2,0.48120395080260114,0.0,0,45.271683783688665
rivalrous,38,-0.004883935825134826,0.9175824175824175,2,0.48144865334301445,0.0,0,46.15502693462414
rivalrous,39,-0.001763793612452843,0.9175824175824175,2,0.4813346578816826,0.0,0,47.0587850878729
rivalrous,40,0.0010661991753828975,0.9175824175824175,2,0.48163923898930006,0.0,0,47.98383412461192
rivalrous,41,0.003623919282153098,0.9175824175824175,2,0.48191947885257264,0.0,0,48.9303073437
rivalrous,42,0.005910380249345353,0.9175824175824175,2,0.48202650867697583,0.0,0,49.89909231583371
rivalrous,43,0.00795533475688144,0.9175824175824175,2,0.4875060234560292,0.0,0,50.8908406102837
